iter,focus,selected_resource_layer,destroy_operator,repair_operator,fallback_repair_used,projection_mode,projection_repaired_subtask_count,effective_destroy_mu,effective_destroy_budget,destroy_tier,heavy_destroy_active,force_rotate_used,x_temp_boost_used,local_obj,Sx,Sy,Sz,F_raw,F_cal,residual_hat,residual_decay_alpha,residual_conf_alpha,duplicate_tote_count,duplicate_tote_penalty,coverage_hard_reject,unmet_sku_total,candidate_hard_reject_reason,candidate_pool_target_size,candidate_pool_generated_count,candidate_pool_unique_count,candidate_pool_attempt_count,candidate_pool_exact_count,candidate_pool_best_f_raw,candidate_pool_best_f_cal,selected_candidate_rank,joint_colocated_sort_postprocess_triggered,joint_colocated_sort_postprocess_candidate_groups,joint_colocated_sort_postprocess_submitted,joint_colocated_sort_postprocess_applied,joint_colocated_sort_postprocess_makespan_gain,joint_colocated_sort_postprocess_rejected_capacity,joint_colocated_sort_postprocess_rejected_interval_illegal,joint_colocated_sort_postprocess_rejected_noise,joint_colocated_sort_postprocess_rejected_eval_not_better,joint_colocated_sort_postprocess_rejected_validation,joint_colocated_sort_postprocess_rejected_target_conflict,empty_candidate_penalized,layer_cooldown_remaining,stagnation_increment,used_exact_eval_cache,exact_eval_cache_hit_count,consecutive_exact_cache_hit_count,adaptive_destroy_bonus,consecutive_fail_count_x,x_layer_dynamic_multiplier,x_failure_cooldown_remaining,local_accept,global_eval_triggered,validation_trigger,validated_makespan,catastrophic_rollback,z,best_z,improved,sa_temperature,sa_accept_prob,iter_runtime_sec,global_eval_time_sec,lkh_call_count
30,Y,Y,y_destroy_rank_window_release,y_repair_regret2_station,False,,0,0.1,2,base,False,True,False,3081.462833538588,0.3664423076923077,0.2772881054131054,3.6237274220032845,3081.462833538588,3081.463390727817,0.002505227996810724,0.3968502629920499,0.5604395604395604,0,0.0,False,0,,3,3,1,3,1,3081.462833538588,3081.463390727817,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,0.2,True,16,1,0.0,1,1.0,0,False,False,,nan,False,336.0,336.0,False,4.518710819851311,0.01078158364722896,0.04270829999950365,0.0,5
31,Z,Z,,,False,,0,0.1,2,base,False,True,False,3060.9963823891626,0.3864423076923077,0.2740268567639257,3.5720032840722498,3060.9963823891626,3060.9940111069204,-0.007528351850819816,0.3149802624737183,1.0,0,0.0,False,0,exact_candidate_fail,3,3,0,4,0,nan,nan,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,1.0,False,16,0,0.0,1,1.0,0,False,False,,nan,False,336.0,336.0,False,4.292775278858745,0.0,0.019425699998464552,0.0,5
32,X,X,,,False,,0,0.1,5,base,False,True,False,3060.9963823891626,0.3864423076923077,0.2740268567639257,3.5720032840722498,3060.9963823891626,3060.9940111069204,-0.007528351850819816,0.3149802624737183,1.0,0,0.0,False,0,no_candidate_pool,3,0,0,12,0,nan,nan,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,3,0.0,False,16,0,0.0,2,1.0,0,False,False,,nan,False,336.0,336.0,False,4.0781365149158075,0.0,0.0008425000014540274,0.0,5
33,Y,Y,y_destroy_initial_idle_head,y_repair_load_balance,False,,0,0.1,2,base,False,True,False,3071.622416871922,0.42644230769230773,0.30046688034188035,3.5237274220032844,3071.622416871922,3071.6222732006945,-0.0059899311782085985,0.19842513149602495,0.12087912087912078,0,0.0,False,0,,3,3,1,5,1,3071.622416871922,3071.6222732006945,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,1.0,False,16,0,0.0,2,1.0,0,False,False,,nan,False,336.0,336.0,False,3.8742296891700168,0.06435615766318427,0.11621739999827696,0.0,5
34,Z,Z,,,False,,0,0.1,2,base,False,True,False,3060.9963823891626,0.3864423076923077,0.2740268567639257,3.5720032840722498,3060.9963823891626,3060.9940111069204,-0.007528351850819816,0.3149802624737183,1.0,0,0.0,False,0,exact_candidate_fail,3,3,0,12,0,nan,nan,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,1.0,False,16,0,0.0,2,1.0,0,False,False,,nan,False,336.0,336.0,False,3.680518204711516,0.0,0.021174799998334493,0.0,5
35,Y,Y,y_destroy_initial_idle_head,y_repair_earliest_finish,False,,0,0.1,2,base,False,True,False,3071.622416871922,0.42644230769230773,0.30046688034188035,3.5237274220032844,3071.622416871922,3071.622416871922,-0.0059899311782085985,0.0,0.12087912087912078,0,0.0,False,0,,3,3,1,5,1,3071.622416871922,3071.622416871922,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,0.2,True,17,1,0.0,2,1.0,0,False,False,,nan,False,336.0,336.0,False,3.49649229447594,0.04784762543830423,0.09043500000007043,0.0,5
36,Z,Z,,,False,,0,0.1,2,base,False,True,False,3060.9963823891626,0.3864423076923077,0.2740268567639257,3.5720032840722498,3060.9963823891626,3060.9940111069204,-0.007528351850819816,0.3149802624737183,1.0,0,0.0,False,0,exact_candidate_fail,3,3,0,8,0,nan,nan,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,1.0,False,17,0,0.0,2,1.0,0,False,False,,nan,False,336.0,336.0,False,3.3216676797521427,0.0,0.020085900001504342,0.0,5
37,X,X,,,False,,0,0.1,5,base,False,True,False,3060.9963823891626,0.3864423076923077,0.2740268567639257,3.5720032840722498,3060.9963823891626,3060.9940111069204,-0.007528351850819816,0.3149802624737183,1.0,0,0.0,False,0,coverage_hard_reject,3,1,0,12,0,nan,nan,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,1.0,False,17,0,0.0,0,0.1,10,False,False,,nan,False,336.0,336.0,False,3.1555842957645353,0.0,0.055678500000794884,0.0,5
38,Y,Y,y_destroy_initial_idle_head,y_repair_regret2_station,False,,0,0.1,2,base,False,True,False,3071.622416871922,0.42644230769230773,0.30046688034188035,3.5237274220032844,3071.622416871922,3071.622416871922,-0.0059899311782085985,0.0,0.12087912087912078,0,0.0,False,0,,3,3,1,3,1,3071.622416871922,3071.622416871922,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,0.2,True,18,1,0.0,0,0.1,9,False,False,,nan,False,336.0,336.0,False,2.9978050809763084,0.028857196435837038,0.05031629999939469,0.0,5
39,Z,Z,,,False,,0,0.1,2,base,False,True,False,3060.9963823891626,0.3864423076923077,0.2740268567639257,3.5720032840722498,3060.9963823891626,3060.9940111069204,-0.007528351850819816,0.3149802624737183,1.0,0,0.0,False,0,exact_candidate_fail,3,3,0,7,0,nan,nan,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,1.0,False,18,0,0.0,0,0.1,8,False,False,,nan,False,336.0,336.0,False,2.847914826927493,0.0,0.023626700000022538,0.0,5
